yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Import,Saudi Arabia,Russian Federation,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2957132,,,64.6863136,97.7453061
2018,2018,Import,Saudi Arabia,Serbia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",41858,,,44.1534121,20.55144
2018,2018,Import,Saudi Arabia,India,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",8275711,,,22.3511148,78.6677428
2018,2018,Import,Saudi Arabia,Singapore,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",6763967,,,1.357107,103.8194992
2018,2018,Import,Saudi Arabia,Slovakia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",72721,,,48.7411522,19.4528646
2018,2018,Import,Saudi Arabia,Viet Nam,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2244766,,,15.9266657,107.9650855
2018,2018,Import,Saudi Arabia,Slovenia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2010123,,,45.8133113,14.4808369
2018,2018,Import,Saudi Arabia,South Africa,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",4108070,,,-28.8166236,24.991639
2018,2018,Import,Saudi Arabia,Spain,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2751883,,,39.3260685,-4.8379791
2018,2018,Import,Saudi Arabia,Sweden,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2777906,,,59.6749712,14.5208584
2018,2018,Import,Saudi Arabia,Switzerland,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",4946673,,,46.7985624,8.2319736
2018,2018,Import,Saudi Arabia,Syria,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",6261,,,34.6401861,39.0494106
2018,2018,Import,Saudi Arabia,Thailand,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1564030,,,14.8971921,100.83273
2018,2018,Import,Saudi Arabia,United Arab Emirates,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",13996884,,,24.0002488,53.9994829
2018,2018,Import,Saudi Arabia,Turkey,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2983912,,,38.9597594,34.9249653
2018,2018,Import,Saudi Arabia,Ukraine,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",84354,,,49.4871968,31.2718321
2018,2018,Import,Saudi Arabia,Egypt,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",874779,,,26.2540493,29.2675469
2018,2018,Import,Saudi Arabia,United Kingdom,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",23057615,,,54.7023545,-3.2765753
2018,2018,Import,Saudi Arabia,USA,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",133495615,,,,
2018,2018,Import,Saudi Arabia,Uruguay,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",8486,,,-32.8755548,-56.0201525
2018,2018,Import,Saudi Arabia,Yemen,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",9066,,,16.3471243,47.8915271
2019,2019,Import,Saudi Arabia,World,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",519467189,,,-36.8535712,174.7456809
2019,2019,Import,Saudi Arabia,Angola,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",19101,,,-11.8775768,17.5691241
2019,2019,Import,Saudi Arabia,Argentina,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",7513,,,-34.9964963,-64.9672817
2019,2019,Import,Saudi Arabia,Australia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",606611,,,-24.7761086,134.755
