yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2021,2021,Import,Oman,Ethiopia,1,Animals; live,23942,,,10.2116702,38.6521203
2021,2021,Import,Oman,Djibouti,1,Animals; live,100130,,,11.8145966,42.8453061
2021,2021,Import,Oman,Guinea,1,Animals; live,7836,,,10.7226226,-10.7083587
2021,2021,Import,Oman,Hungary,1,Animals; live,130,,,47.1817585,19.5060937
2021,2021,Import,Oman,Iran,1,Animals; live,109200720,,,32.6475314,54.5643516
2021,2021,Import,Oman,Italy,1,Animals; live,130,,,42.6384261,12.674297
2021,2021,Import,Oman,Jordan,1,Animals; live,18249,,,31.1667049,36.941628
2021,2021,Import,Oman,Kuwait,1,Animals; live,1448,,,29.2733964,47.4979476
2021,2021,Import,Oman,Lebanon,1,Animals; live,5698,,,33.8750629,35.843409
2021,2021,Import,Oman,Luxembourg,1,Animals; live,53817,,,,
2021,2021,Import,Oman,Netherlands,1,Animals; live,603937,,,52.2434979,5.6343227
2021,2021,Import,Oman,Pakistan,1,Animals; live,316049,,,30.3308401,71.247499
2021,2021,Import,Oman,Philippines,1,Animals; live,2975,,,12.7503486,122.7312101
2021,2021,Import,Oman,Qatar,1,Animals; live,7245898,,,25.3336984,51.2295295
2021,2021,Import,Oman,Saudi Arabia,1,Animals; live,155430,,,25.6242618,42.3528328
2021,2021,Import,Oman,India,1,Animals; live,17958,,,22.3511148,78.6677428
2021,2021,Import,Oman,Somalia,1,Animals; live,184426062,,,8.3676771,49.083416
2021,2021,Import,Oman,Sudan,1,Animals; live,7538499,,,14.5844444,29.4917691
2021,2021,Import,Oman,Syria,1,Animals; live,1323,,,34.6401861,39.0494106
2021,2021,Import,Oman,Thailand,1,Animals; live,119570,,,14.8971921,100.83273
2021,2021,Import,Oman,United Arab Emirates,1,Animals; live,25372309,,,24.0002488,53.9994829
2021,2021,Import,Oman,Turkey,1,Animals; live,887084,,,38.9597594,34.9249653
2021,2021,Import,Oman,Egypt,1,Animals; live,16210,,,26.2540493,29.2675469
2021,2021,Import,Oman,United Kingdom,1,Animals; live,2607227,,,54.7023545,-3.2765753
2021,2021,Import,Oman,Free Zones,1,Animals; live,1014,,,,
